id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin,rank,3:03,3:04,3:05,3:08,4:03,4:04,4:05,4:08,5:03,5:04,5:05,5:08,8:03,8:04,8:05,8:08
CPI-SS060B82BBC,JAG1_NOTCH2,simple:P78504,simple:Q04721,ENSG00000101384,ENSG00000134250,FALSE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0FB5FE587,DLL1_NOTCH4,simple:O00548,simple:Q99466,ENSG00000198719,ENSG00000204301,FALSE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0762B455F,EFNA1_EPHA5,simple:P20827,simple:P54756,ENSG00000169242,ENSG00000145242,TRUE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS079EF5D9C,EFNA3_EPHA5,simple:P52797,simple:P54756,ENSG00000143590,ENSG00000145242,FALSE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0008137B6,EFNA4_EPHA5,simple:P52798,simple:P54756,ENSG00000243364,ENSG00000145242,TRUE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS09E3F5044,EFNA5_EPHA5,simple:P52803,simple:P54756,ENSG00000184349,ENSG00000145242,FALSE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS06CE0CF64,CORT_SSTR1,simple:O00230,simple:P30872,ENSG00000241563,ENSG00000139874,TRUE,FALSE,TRUE,guidetopharmacology.org,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS008509DBD,CORT_SSTR4,simple:O00230,simple:P31391,ENSG00000241563,ENSG00000132671,TRUE,FALSE,TRUE,guidetopharmacology.org,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS09CF5B145,AGRP_MC4R,simple:O00253,simple:P32245,ENSG00000159723,ENSG00000166603,TRUE,FALSE,TRUE,guidetopharmacology.org,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS098F8DB82,POMC_MC4R,simple:P01189,simple:P32245,ENSG00000115138,ENSG00000166603,TRUE,FALSE,TRUE,guidetopharmacology.org,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS00BD8FF72,POMC_MC1R,simple:P01189,simple:Q01726,ENSG00000115138,ENSG00000258839,TRUE,FALSE,TRUE,guidetopharmacology.org,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS00F282936,CXCR6_CXCL16,simple:O00574,simple:Q9H2A7,ENSG00000172215,ENSG00000161921,TRUE,TRUE,TRUE,guidetopharmacology.org,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0D81D9F5E,EFNA2_EPHA5,simple:O43921,simple:P54756,ENSG00000099617,ENSG00000145242,FALSE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS04318D03E,ACKR2_CCL3,simple:O00590,simple:P10147,ENSG00000144648,ENSG00000277632,TRUE,TRUE,FALSE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS03165AD8C,ACKR2_CCL2,simple:O00590,simple:P13500,ENSG00000144648,ENSG00000108691,TRUE,TRUE,FALSE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0AE4CF4E7,ACKR2_CCL5,simple:O00590,simple:P13501,ENSG00000144648,ENSG00000271503,TRUE,TRUE,FALSE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0DA291AD9,GPR75_CCL5,simple:O95800,simple:P13501,ENSG00000119737,ENSG00000271503,TRUE,TRUE,FALSE,guidetopharmacology.org,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0BE8BE8E9,ACKR2_CCL8,simple:O00590,simple:P80075,ENSG00000144648,ENSG00000108700,TRUE,TRUE,FALSE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS09AFCF898,CCR2_CCL8,simple:P41597,simple:P80075,ENSG00000121807,ENSG00000108700,TRUE,TRUE,FALSE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
