"","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","Peak.Score","Focus.Ratio.Region.Size","Detailed.Annotation","Gene.Name"
"5747",0.470363198059911,1,0.999,0,4,"Lamp1",25.25,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Lamp1"
"5748",0.45572302955518,0.483,0.058,0,4,"Hpse",NA,NA,NA,NA
"5749",-0.687763563014552,0.914,0.964,0,4,"Ran",48.474998,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Ran"
"5750",0.445431552114918,1,0.997,3.67846778795277e-315,4,"Rgs10",27.049999,"Sample6peaks.txt|Sample7peaks.txt","Promoter","Rgs10"
"5751",0.578503113960192,0.979,0.798,9.77438004299409e-304,4,"Tmem86a",71.900002,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Tmem86a"
"5752",0.578880835782908,0.988,0.865,1.79657234039272e-300,4,"Cd300c2",NA,NA,NA,NA
"5753",0.564345460140191,0.99,0.931,8.92973563575096e-298,4,"Sat1",62.599998,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Sat1"
"5754",0.503415390512159,0.933,0.721,2.32006907116877e-293,4,"Dhrs3",54.349998,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Dhrs3"
"5755",0.781858251215115,0.819,0.482,1.75258051515114e-289,4,"Ccl9",NA,NA,NA,NA
"5756",-0.510065852426416,0.998,1,7.01229076277489e-289,4,"Ptma",76.425003,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Ptma"
"5757",0.550091152488363,0.968,0.76,2.5401769355483e-282,4,"Cd300a",NA,NA,NA,NA
"5758",0.583857522960835,0.782,0.482,6.09940913843229e-281,4,"Gpx3",8.955,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Gpx3"
"5759",-0.558189142612728,0.928,0.975,2.13784404242617e-276,4,"Set",72.800003,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Set"
"5760",0.623973435388316,0.943,0.83,1.62141134154916e-274,4,"Aldoa",52.674999,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Aldoa"
"5761",-0.70639931330201,0.615,0.924,5.0972942427996e-273,4,"Tmem119",62.799999,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Tmem119"
"5762",0.525608756428412,0.924,0.74,5.81822924004947e-270,4,"Rcbtb2",NA,NA,NA,NA
"5763",0.891252472472859,0.51,0.115,1.11741214426431e-267,4,"Apoc1",13.9,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Apoc1"
"5764",0.586451479045411,0.957,0.737,6.92467855457613e-267,4,"Mafb",109.925003,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Mafb"
"5765",0.752011425447884,0.999,0.98,6.11342176774384e-262,4,"Cd9",12.005,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Cd9"
"5766",0.473983196373567,0.984,0.872,8.63264759903245e-262,4,"Lmo2",36.400002,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Lmo2"
"5767",0.598693622771837,0.737,0.261,1.104443257802e-258,4,"Abcg1",10.8225,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Abcg1"
"5768",-0.696162359428258,0.468,0.86,3.11728217214547e-258,4,"Ccnd1",NA,NA,NA,NA
"5769",0.589462153522903,0.982,0.816,1.12366975715941e-256,4,"Slc12a2",38.450001,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Slc12a2"
"5770",-0.547820031199237,0.984,0.993,9.62909159029651e-253,4,"Ncl",123.5,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Ncl"
"5771",-0.484902994880773,0.954,0.988,1.21047921481368e-252,4,"Hnrnpa3",98.875,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Hnrnpa3"
"5772",0.43750811062624,0.998,0.991,7.76964056148106e-249,4,"Gabarap",16.866667,"Sample5peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Gabarap"
"5773",-0.837571847973004,0.515,0.791,2.36415512754498e-243,4,"Tmpo",55.949997,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Tmpo"
"5774",-0.646887234989459,0.938,0.972,1.21241361176314e-242,4,"Tuba1b",44.75,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Tuba1b"
"5775",-0.78138871975109,0.213,0.657,4.1151964332909e-242,4,"Lmnb1",77.775002,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Lmnb1"
"5776",0.419267908025564,1,0.997,1.15806592034384e-241,4,"Grn",78.525002,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Grn"
"5777",0.495350407973484,0.993,0.956,6.54085754955931e-241,4,"Ucp2",40.375,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Ucp2"
"5778",-0.628337207964828,0.756,0.904,8.00680627537954e-240,4,"Ranbp1",NA,NA,NA,NA
"5779",0.817476463090304,0.295,0.019,5.5747647124419e-239,4,"Gpnmb",NA,NA,NA,NA
"5780",0.47390361695957,0.926,0.657,1.18494726370439e-238,4,"Pnrc1",NA,NA,NA,NA
"5781",-0.639337418280875,0.752,0.943,4.01728735913274e-238,4,"Igfbp4",NA,NA,NA,NA
"5782",0.533173930285531,0.982,0.921,6.47068278371339e-238,4,"Bri3",41.549999,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Bri3"
"5783",-0.603130012383313,0.884,0.962,1.10651828974731e-236,4,"Anp32b",45.875,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Anp32b"
"5784",-1.266118811064,0.725,0.872,3.62863426052826e-236,4,"Hmgb2",196.925003,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Hmgb2"
"5785",-0.618204168607781,0.922,0.959,5.10930799628395e-236,4,"Hsp90aa1",40.825001,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Hsp90aa1"
"5786",-0.5334032239773,0.857,0.938,7.83411069232966e-233,4,"Hnrnpd",74.875,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Hnrnpd"
"5787",0.609607439654341,0.926,0.701,2.69362345067321e-230,4,"Plin2",18.075001,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Plin2"
"5788",1.16742204243355,0.648,0.394,1.58882519112423e-224,4,"Fabp5",24.9,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Fabp5"
"5789",0.363075506479073,0.295,0.021,9.11627955033964e-224,4,"Itgax",7.9875,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Itgax"
"5790",0.528263673913975,0.988,0.922,3.29867172502166e-222,4,"Serpine2",16.625,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Serpine2"
"5791",-0.544669634716265,0.996,0.996,2.29058061725755e-219,4,"Hmgb1",66.775002,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Hmgb1"
