"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hmgb3.4",7.71761304718544e-117,0.255558421945321,0.569,0.307,1.8075421517813e-112,"6","Hmgb3"
"Bub1.5",2.51567350883094e-116,0.237377239130905,0.52,0.244,5.89195892503295e-112,"6","Bub1"
"Kif2c.5",1.53851603618409e-115,0.274227400888754,0.46,0.206,3.60335840834675e-111,"6","Kif2c"
"Ybx1.4",3.31384685469604e-113,0.217725210727584,0.998,0.996,7.7613607183836e-109,"6","Ybx1"
"Hsp90b1.4",5.00140005699646e-113,0.281518459560215,0.998,0.998,1.17137790734914e-108,"6","Hsp90b1"
"Itm2b.5",3.30407811965949e-112,-0.310170940568291,1,1,7.73848136405448e-108,"6","Itm2b"
"Lig1.5",2.20999704577745e-111,-0.400420368072025,0.253,0.508,5.17603408091537e-107,"6","Lig1"
"Kif22.5",6.69234214342457e-106,0.227925932013016,0.495,0.235,1.56741345341147e-101,"6","Kif22"
"Gm47283.5",2.16572208319679e-104,-0.407857434994224,0.735,0.886,5.0723376910552e-100,"6","Gm47283"
"Kif20b.5",3.5610028885216e-104,0.390558901533759,0.555,0.298,8.34022486520645e-100,"6","Kif20b"
"Selenop.5",9.2119500985001e-104,-0.409200640206097,0.999,0.999,2.15753083256971e-99,"6","Selenop"
"Mcm4.4",2.40617518838559e-101,-0.308486004760921,0.211,0.448,5.63550290871788e-97,"6","Mcm4"
"2610318N02Rik.4",3.88731365574872e-101,0.147184843454151,0.258,0.081,9.10447731312908e-97,"6","2610318N02Rik"
"Cdc25c.5",3.55864358183106e-100,0.14758292819785,0.265,0.079,8.33469913300653e-96,"6","Cdc25c"
"Ctsb.5",3.64697512916147e-100,-0.419170943546741,0.998,0.999,8.54158045000909e-96,"6","Ctsb"
"AC149090.1.4",2.12702390553205e-99,-0.300673874305437,0.789,0.922,4.98170268914662e-95,"6","AC149090.1"
