id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin,rank,microglia_4|microglia_4,microglia_4|microglia_5,microglia_4|oligos_7,microglia_4|opcs_2,microglia_4|opcs_9,microglia_5|microglia_4,microglia_5|microglia_5,microglia_5|oligos_7,microglia_5|opcs_2,microglia_5|opcs_9,oligos_7|microglia_4,oligos_7|microglia_5,oligos_7|oligos_7,oligos_7|opcs_2,oligos_7|opcs_9,opcs_2|microglia_4,opcs_2|microglia_5,opcs_2|oligos_7,opcs_2|opcs_2,opcs_2|opcs_9,opcs_9|microglia_4,opcs_9|microglia_5,opcs_9|oligos_7,opcs_9|opcs_2,opcs_9|opcs_9
CPI-SS030EDC420,FZD9_WNT7A,simple:O00144,simple:O00755,ENSG00000188763,ENSG00000154764,TRUE,TRUE,FALSE,I2D,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS01A07768A,CD46_JAG1,simple:P15529,simple:P78504,ENSG00000117335,ENSG00000101384,FALSE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0B87FE6E0,NOTCH1_JAG1,simple:P46531,simple:P78504,ENSG00000148400,ENSG00000101384,FALSE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0FA326344,FZD6_WNT4,simple:O60353,simple:P56705,ENSG00000164930,ENSG00000162552,TRUE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0B42AD9EF,NOTCH1_WNT4,simple:P46531,simple:P56705,ENSG00000148400,ENSG00000162552,TRUE,TRUE,FALSE,I2D,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0C4D54E39,NOTCH3_JAG2,simple:Q9UM47,simple:Q9Y219,ENSG00000074181,ENSG00000184916,FALSE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS05FEE05CB,NOTCH4_JAG2,simple:Q99466,simple:Q9Y219,ENSG00000204301,ENSG00000184916,FALSE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS08C3D27F7,NOTCH1_JAG2,simple:P46531,simple:Q9Y219,ENSG00000148400,ENSG00000184916,FALSE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS02770D68F,NOTCH2_JAG2,simple:Q04721,simple:Q9Y219,ENSG00000134250,ENSG00000184916,FALSE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS09D379E5B,NOTCH4_DLL3,simple:Q99466,simple:Q9NYJ7,ENSG00000204301,ENSG00000090932,FALSE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0B7BC0E4D,CCL24_CCR2,simple:O00175,simple:P41597,ENSG00000106178,ENSG00000121807,TRUE,FALSE,TRUE,guidetopharmacology.org,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0241A1F57,NRP2_SEMA3C,simple:O60462,simple:Q99985,ENSG00000118257,ENSG00000075223,TRUE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0947A8549,FLT1_VEGFB,simple:P17948,simple:P49765,ENSG00000102755,ENSG00000173511,TRUE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0E61DB5DF,FLT1_PGF,simple:P17948,simple:P49763,ENSG00000102755,ENSG00000119630,TRUE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0D46E2B45,TGFB3_TGFBR3,simple:P10600,simple:Q03167,ENSG00000119699,ENSG00000069702,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0FB37E079,INHA_TGFBR3,simple:P05111,simple:Q03167,ENSG00000123999,ENSG00000069702,TRUE,FALSE,TRUE,I2D,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS085EE60B1,TGFB1_TGFBR3,simple:P01137,simple:Q03167,ENSG00000105329,ENSG00000069702,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS068C742A1,FGF1_TGFBR3,simple:P05230,simple:Q03167,ENSG00000113578,ENSG00000069702,TRUE,FALSE,TRUE,InnateDB-All,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0C1BD22BC,SPP1_PTGER4,simple:P10451,simple:P35408,ENSG00000118785,ENSG00000171522,TRUE,FALSE,TRUE,"IMEx,MINT",FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0CB6968B9,FGF2_FGFRL1,simple:P09038,simple:Q8N441,ENSG00000138685,ENSG00000127418,TRUE,FALSE,TRUE,I2D,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0BF3ED143,FGFR2_FGFR3,simple:P21802,simple:P22607,ENSG00000066468,ENSG00000068078,TRUE,TRUE,TRUE,"IMEx,InnateDB-All",FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS00E68BB92,FGF7_FGFR3,simple:P21781,simple:P22607,ENSG00000140285,ENSG00000068078,TRUE,FALSE,TRUE,I2D,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS015819E65,FGF1_FGFR3,simple:P05230,simple:P22607,ENSG00000113578,ENSG00000068078,TRUE,FALSE,TRUE,"I2D,IMEx,InnateDB-All,IntAct",FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0D636A374,FGF2_FGFR3,simple:P09038,simple:P22607,ENSG00000138685,ENSG00000068078,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0178F5C45,TGFB2_TGFBR3,simple:P61812,simple:Q03167,ENSG00000092969,ENSG00000069702,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0735F5C3A,TIMP1_FGFR2,simple:P01033,simple:P21802,ENSG00000102265,ENSG00000066468,TRUE,FALSE,TRUE,InnateDB-All,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
